0,pointer,,,
1,pointer,,,
2,pointer,,,
3,pointer,,,
4,pointer,llvm.global.annotations,,
5,pointer,,,
6,pointer,glob,,
7,non-pointer,,,
8,pointer,,,
9,pointer,.str,,
10,non-pointer,,,
11,pointer,,,
12,pointer,.str.1,,
13,non-pointer,,,
14,pointer,,,
15,pointer,baz,,
16,pointer,,,
17,pointer,.str.2,,
18,non-pointer,,,
19,pointer,,,
20,pointer,bar,,
21,pointer,,,
22,pointer,.str.3,,
23,non-pointer,,,
24,pointer,llvm.global.annotations,,
25,pointer,glob,,
26,pointer,.str.4,,
27,pointer,,,
28,non-pointer,,,
29,pointer,baz,,
30,non-pointer,baz,,
31,pointer,baz,,0
32,pointer,baz,0,
33,pointer,baz,0,
34,non-pointer,,,
35,non-pointer,baz,1,
36,non-pointer,baz,2,
37,pointer,baz,3,
38,non-pointer,baz,4,
39,non-pointer,baz,5,
40,pointer,baz,6,
41,non-pointer,baz,7,
42,non-pointer,baz,8,
43,pointer,bar,,
44,non-pointer,bar,,
45,pointer,bar,,0
46,pointer,bar,0,
47,pointer,bar,0,
48,pointer,bar,1,
49,pointer,bar,1,
50,pointer,bar,2,
51,pointer,bar,2,
52,non-pointer,bar,3,
53,non-pointer,bar,4,
54,non-pointer,bar,5,
55,pointer,bar,6,
56,non-pointer,bar,7,
57,non-pointer,bar,8,
58,pointer,bar,9,
59,pointer,bar,10,
60,non-pointer,bar,11,
61,pointer,bar,12,
62,non-pointer,bar,13,
63,non-pointer,,,
64,pointer,bar,14,
65,pointer,bar,15,
66,non-pointer,bar,16,
67,non-pointer,bar,17,
68,pointer,llvm.dbg.declare,,
69,pointer,llvm.dbg.declare,,
70,non-pointer,llvm.dbg.declare,,
71,non-pointer,llvm.dbg.declare,,0
72,non-pointer,llvm.dbg.declare,,1
73,non-pointer,llvm.dbg.declare,,2
74,pointer,foo,,
75,pointer,foo,,
76,non-pointer,foo,,
77,pointer,foo,,0
78,pointer,foo,0,
79,pointer,foo,0,
80,pointer,foo,1,
81,pointer,foo,1,
82,non-pointer,foo,2,
83,non-pointer,foo,3,
84,non-pointer,foo,4,
85,pointer,foo,5,
86,non-pointer,foo,6,
87,pointer,foo,7,
88,non-pointer,foo,8,
89,non-pointer,foo,9,
90,pointer,main,,
91,pointer,main,,
92,non-pointer,main,,
93,pointer,main,0,
94,pointer,main,0,
95,non-pointer,main,1,
96,non-pointer,main,2,
97,non-pointer,main,3,
98,pointer,main,4,
99,non-pointer,main,5,
100,pointer,printf,,
101,pointer,printf,,
102,non-pointer,main,6,
103,non-pointer,printf,,
104,pointer,printf,,
105,pointer,printf,,0
106,pointer,llvm.global.annotations,,
107,pointer,llvm.global.annotations,,
108,pointer,llvm.global.annotations,,
109,pointer,llvm.global.annotations,,
110,pointer,llvm.global.annotations,,
111,pointer,bar,2,
112,pointer,bar,2,
113,pointer,llvm.global.annotations,,
114,pointer,llvm.global.annotations,,
115,pointer,llvm.global.annotations,,
116,pointer,llvm.global.annotations,,
117,pointer,llvm.global.annotations,,
